"subj","rt","resp","cond","r1","r2","t1","t2"
3,1632,0,0.7,10,20.0862,0,24
3,1650,1,0.9,10,19.9817,0,20
3,1782,0,0.5,10,17.56,0,20
3,2212,0,0.5,10,23.608,0,36
3,1590,0,0.5,10,19.072,0,24
3,1614,0,0.1,10,18.7229,0,31
3,1760,0,0.5,10,17.182,0,19
3,1660,0,0.3,10,22.3525,0,36
3,1890,0,0.3,10,18.7735,0,26
3,1970,1,0.5,10,25.498,0,41
3,1400,1,0.9,10,29.0144,0,41
3,1646,0,0.1,10,19.3746,0,33
3,1662,1,0.9,10,24.283,0,30
3,1688,1,0.9,10,29.4446,0,42
3,1776,1,0.9,10,28.5843,0,40
3,1712,1,0.9,10,26.0035,0,34
3,1764,0,0.3,10,23.7841,0,40
3,2010,0,0.3,10,21.9946,0,35
3,1512,1,0.3,10,18.4156,0,25
3,1942,0,0.5,10,18.694,0,23
3,1520,1,0.5,10,19.45,0,25
3,1850,0,0.5,10,21.718,0,31
3,1712,0,0.1,10,20.6781,0,37
3,1618,1,0.7,10,20.0862,0,24
3,1906,1,0.5,10,25.12,0,40
3,1700,0,0.5,10,22.096,0,32
3,1734,0,0.1,10,17.0935,0,26
3,1588,1,0.9,10,26.8638,0,36
3,2178,0,0.5,10,21.718,0,31
3,1734,0,0.5,10,20.584,0,28
3,1584,0,0.1,10,20.3522,0,36
3,1890,1,0.5,10,22.852,0,34
3,1874,1,0.5,10,24.742,0,39
3,1514,1,0.3,10,25.2157,0,44
3,1992,1,0.3,10,20.563,0,31
3,1706,1,0.3,10,24.4999,0,42
3,1534,1,0.3,10,16.6262,0,20
3,1632,1,0.5,10,27.01,0,45
3,1508,1,0.5,10,18.694,0,23
3,1458,1,0.1,10,15.79,0,22
3,1482,1,0.9,10,29.4446,0,42
3,1856,1,0.5,10,23.986,0,37
3,2094,0,0.1,10,14.8124,0,19
3,2130,1,0.5,10,15.67,0,15
3,1918,1,0.5,10,25.876,0,42
3,2494,1,0.3,10,16.9841,0,21
3,1826,1,0.7,10,20.0862,0,24
3,1570,1,0.3,10,21.9946,0,35
3,1450,1,0.9,10,21.2721,0,23
3,1894,0,0.3,10,19.8472,0,29
3,1898,1,0.1,10,14.1607,0,17
3,2166,1,0.5,10,27.01,0,45
3,1928,0,0.5,10,22.474,0,33
3,1786,1,0.5,10,20.584,0,28
3,1880,0,0.5,10,21.34,0,30
3,2420,1,0.9,10,22.1323,0,25
3,1928,0,0.1,10,17.7453,0,28
3,2004,0,0.1,10,15.79,0,22
3,1846,1,0.7,10,23.2711,0,32
3,1890,1,0.7,10,25.6597,0,38
3,2032,0,0.3,10,20.563,0,31
3,2078,1,0.9,10,26.0035,0,34
3,2492,0,0.9,10,20.4118,0,21
3,2170,0,0.3,10,18.7735,0,26
3,2322,1,0.1,10,21.3298,0,39
3,2122,0,0.1,10,20.3522,0,36
3,2304,0,0.7,10,22.0768,0,29
3,1982,1,0.3,10,20.9209,0,32
3,3656,0,0.7,10,26.0578,0,39
3,2220,0,0.7,10,16.9014,0,16
3,2046,1,0.5,10,22.474,0,33
3,2318,0,0.9,10,18.2612,0,16
3,2230,0,0.5,10,20.206,0,27
3,1986,1,0.7,10,20.0862,0,24
3,1734,0,0.3,10,24.4999,0,42
3,2194,1,0.5,10,15.67,0,15
3,1808,0,0.1,10,21.004,0,38
3,1788,1,0.9,10,30.7349,0,45
3,1632,1,0.7,10,28.4464,0,45
3,2060,0,0.7,10,26.0578,0,39
3,1900,1,0.9,10,23.4227,0,28
3,1752,1,0.9,10,24.283,0,30
3,2066,1,0.7,10,18.8919,0,21
3,1742,0,0.3,10,21.6367,0,34
3,2018,0,0.5,10,19.072,0,24
3,1900,0,0.5,10,26.632,0,44
3,1998,0,0.5,10,23.986,0,37
3,1764,0,0.7,10,21.2806,0,27
3,2138,0,0.3,10,23.0683,0,38
3,1482,0,0.5,10,18.694,0,23
3,1874,0,0.5,10,20.584,0,28
3,1478,1,0.7,10,27.6502,0,43
3,1822,1,0.5,10,23.608,0,36
3,1784,1,0.7,10,18.8919,0,21
3,1638,0,0.1,10,21.9816,0,41
3,1964,0,0.5,10,22.852,0,34
3,1694,0,0.9,10,19.5516,0,19
3,1678,1,0.9,10,20.4118,0,21
3,1660,0,0.1,10,19.3746,0,33
3,1546,1,0.5,10,22.852,0,34
3,1780,0,0.5,10,19.828,0,26
3,1626,0,0.3,10,20.9209,0,32
3,1526,0,0.5,10,20.584,0,28
3,2030,0,0.1,10,13.8348,0,16
3,2186,1,0.5,10,15.67,0,15
3,1650,0,0.1,10,16.4418,0,24
3,2186,0,0.9,10,17.831,0,15
3,1770,0,0.3,10,18.7735,0,26
3,2138,0,0.3,10,22.3525,0,36
3,1806,0,0.5,10,16.426,0,17
3,2080,1,0.9,10,18.2612,0,16
3,1800,0,0.3,10,21.2788,0,33
3,1752,0,0.5,10,22.474,0,33
3,2032,0,0.5,10,15.67,0,15
3,1676,0,0.5,10,15.67,0,15
3,2576,0,0.7,10,18.4938,0,20
3,1740,0,0.1,10,19.3746,0,33
3,1482,1,0.9,10,18.2612,0,16
3,1770,0,0.1,10,17.0935,0,26
3,1816,1,0.5,10,22.852,0,34
3,1366,0,0.5,10,23.986,0,37
3,1634,1,0.9,10,26.8638,0,36
3,2036,0,0.7,10,17.2995,0,17
3,1560,0,0.3,10,19.8472,0,29
3,1518,1,0.9,10,23.4227,0,28
3,1570,0,0.1,10,16.7677,0,25
3,1688,0,0.3,10,16.2683,0,19
3,1554,0,0.5,10,23.23,0,35
3,1458,0,0.5,10,23.608,0,36
3,1424,1,0.5,10,23.986,0,37
3,2286,0,0.1,10,18.0711,0,29
3,1540,0,0.5,10,22.096,0,32
4,3060,1,0.3,10,11.2917,0,44
4,2038,0,0.1,10,10.5894,0,22
4,2426,0,0.3,10,10.9625,0,33
4,1980,0,0.7,10,10.9273,0,30
4,2582,0,0.7,10,11.2881,0,42
4,2676,0,0.9,10,11.2135,0,38
4,1782,0,0.5,10,10.87,0,29
4,1900,0,0.5,10,10.45,0,15
4,1898,1,0.9,10,11.2739,0,40
4,1868,0,0.1,10,10.7682,0,28
4,1718,0,0.3,10,10.9924,0,34
4,2668,1,0.5,10,11.17,0,39
4,1756,0,0.5,10,11.29,0,43
4,2340,1,0.7,10,11.1378,0,37
4,1644,0,0.9,10,10.67,0,20
4,1966,0,0.3,10,10.783,0,27
4,2754,0,0.5,10,11.29,0,43
4,3928,0,0.9,10,11.3645,0,43
4,1942,0,0.5,10,10.81,0,27
4,3782,1,0.5,10,11.26,0,42
4,1638,0,0.9,10,10.5492,0,16
4,2054,0,0.5,10,10.75,0,25
4,2742,0,0.9,10,11.2739,0,40
4,2844,0,0.9,10,10.519,0,15
4,2806,0,0.5,10,10.57,0,19
4,2640,0,0.5,10,10.63,0,21
4,3238,0,0.1,10,10.5596,0,21
4,2716,1,0.7,10,11.0175,0,33
4,2968,0,0.5,10,10.69,0,23
4,1912,0,0.5,10,10.63,0,21
4,2902,0,0.5,10,10.45,0,15
4,2522,1,0.9,10,11.2135,0,38
4,4064,0,0.7,10,10.8671,0,28
4,2538,1,0.9,10,11.3645,0,43
4,1852,0,0.9,10,10.9417,0,29
4,2532,0,0.5,10,10.81,0,27
4,2684,1,0.7,10,11.2581,0,41
4,1904,0,0.5,10,10.93,0,31
4,1726,0,0.5,10,10.63,0,21
4,2894,0,0.9,10,11.1229,0,35
4,3554,1,0.5,10,11.2,0,40
4,2118,0,0.7,10,10.4761,0,15
4,2608,0,0.1,10,11.0067,0,36
4,3244,1,0.1,10,10.7086,0,26
4,2836,1,0.9,10,11.2739,0,40
4,2100,0,0.3,10,10.8727,0,30
4,2782,0,0.3,10,11.0523,0,36
4,1710,0,0.1,10,10.7682,0,28
4,2454,0,0.1,10,10.649,0,24
4,2744,0,0.1,10,10.5298,0,20
4,2592,0,0.5,10,10.6,0,20
4,3232,0,0.3,10,11.0523,0,36
4,2952,0,0.5,10,10.72,0,24
4,1740,0,0.5,10,10.93,0,31
4,1824,0,0.1,10,10.5,0,19
4,2904,0,0.1,10,11.0067,0,36
4,2032,0,0.7,10,10.807,0,26
4,2452,0,0.3,10,11.2019,0,41
4,2564,0,0.9,10,11.3041,0,41
4,2706,0,0.7,10,11.0175,0,33
4,2432,0,0.3,10,10.8727,0,30
4,2546,1,0.9,10,11.3343,0,42
4,2348,1,0.7,10,11.228,0,40
4,1820,0,0.1,10,10.947,0,34
4,3330,1,0.3,10,11.172,0,40
4,2022,0,0.3,10,11.0224,0,35
4,1694,0,0.5,10,10.75,0,25
4,1898,0,0.7,10,10.7167,0,23
4,1430,0,0.5,10,10.75,0,25
4,1704,0,0.1,10,10.8576,0,31
4,3226,1,0.5,10,11.11,0,37
4,2362,0,0.1,10,10.649,0,24
4,2978,0,0.3,10,11.172,0,40
4,3082,1,0.9,10,11.0323,0,32
4,2442,0,0.3,10,10.753,0,26
4,1792,0,0.1,10,11.0067,0,36
4,1770,0,0.7,10,10.9573,0,31
4,1946,0,0.5,10,10.84,0,28
4,1506,0,0.5,10,11.08,0,36
4,3000,1,0.7,10,11.0476,0,34
4,3810,1,0.5,10,11.17,0,39
4,2616,0,0.5,10,11.32,0,44
4,1626,0,0.5,10,10.93,0,31
4,2366,0,0.1,10,11.1855,0,42
4,1810,0,0.5,10,10.6,0,20
4,2636,0,0.7,10,11.3784,0,45
4,1536,0,0.5,10,10.69,0,23
4,2108,0,0.7,10,10.6867,0,22
4,2876,1,0.3,10,11.2318,0,42
4,1886,1,0.3,10,11.0822,0,37
4,2980,1,0.5,10,10.72,0,24
4,1790,1,0.1,10,11.2451,0,44
4,1812,1,0.3,10,11.0822,0,37
4,1656,0,0.7,10,10.837,0,27
4,2062,1,0.5,10,11.14,0,38
4,1770,0,0.1,10,10.6192,0,23
4,2438,1,0.1,10,10.7682,0,28
4,2228,1,0.9,10,11.3645,0,43
4,2010,0,0.3,10,11.0523,0,36
4,2112,0,0.5,10,10.63,0,21
4,2226,1,0.7,10,11.2581,0,41
4,3282,1,0.9,10,11.0927,0,34
4,1622,0,0.9,10,10.6398,0,19
4,2092,0,0.9,10,10.7002,0,21
4,1642,0,0.5,10,10.99,0,33
4,1640,0,0.1,10,10.947,0,34
4,2074,0,0.5,10,10.78,0,26
4,2434,0,0.7,10,10.9874,0,32
4,2784,0,0.5,10,10.84,0,28
4,1488,0,0.1,10,10.4106,0,16
